Policy Name,Compartment ID,Statement,Lifecycle State,Time Created
AgentConfigPolicy_undefined_2024-10-24T08.11.34.991Z,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow dynamic-group dyn_mtorne_secrets to use log-content in tenancy,ACTIVE,2024-10-24T08:13:06.004000+00:00
AllowMoveData,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Define tenancy OldTenancy as ocid1.tenancy.oc1..aaaaaaaab5ylkao2ml53cunshbghogaigcfz6kn6yv6nkn4ximacrnaw4rvq,ACTIVE,2024-02-09T11:57:22.064000+00:00
AllowMoveData,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Endorse group MigrateDataTenancies to read boot-volume-backups in tenancy OldTenancy,ACTIVE,2024-02-09T11:57:22.064000+00:00
AllowMoveData,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Endorse group MigrateDataTenancies to read volume-backups in tenancy OldTenancy,ACTIVE,2024-02-09T11:57:22.064000+00:00
AllowMoveData,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Endorse group MigrateDataTenancies to inspect volumes in tenancy OldTenancy,ACTIVE,2024-02-09T11:57:22.064000+00:00
AllowMoveData,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,"Endorse group MigrateDataTenancies to use volumes in tenancy OldTenancy where ANY { request.operation = 'CreateVolume', request.operation='GetVolume', request.operation='CreateBootVolume', request.operation='GetBootVolume' }",ACTIVE,2024-02-09T11:57:22.064000+00:00
ansible_demo_policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group ansible_demo_admins to manage instance-family in compartment id ocid1.compartment.oc1..aaaaaaaabvenmx4qzr7igc73lhp544lua5bo4wmcg4gft24hwxssbszseodq,ACTIVE,2025-06-25T13:37:46.334000+00:00
ansible_demo_policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group ansible_demo_admins to read virtual-network-family in compartment id ocid1.compartment.oc1..aaaaaaaabvenmx4qzr7igc73lhp544lua5bo4wmcg4gft24hwxssbszseodq,ACTIVE,2025-06-25T13:37:46.334000+00:00
AutonomousRecoveryService,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service database to manage recovery-service-family in tenancy,ACTIVE,2024-06-12T10:30:01.519000+00:00
AutonomousRecoveryService,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service database to manage tagnamespace in tenancy,ACTIVE,2024-06-12T10:30:01.519000+00:00
AutonomousRecoveryService,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service rcs to manage recovery-service-family in tenancy,ACTIVE,2024-06-12T10:30:01.519000+00:00
AutonomousRecoveryService,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow service rcs to manage virtual-network-family in tenancy,ACTIVE,2024-06-12T10:30:01.519000+00:00
AutonomousRecoveryService,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow group LABS-group to manage recovery-service-family in tenancy,ACTIVE,2024-06-12T10:30:01.519000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to manage cloudevents-rules in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to inspect compartments in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to use tag-namespaces in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to inspect streams in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to use stream-push in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
backup_status,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow group backup to use stream-pull in tenancy,ACTIVE,2025-03-04T14:32:42.468000+00:00
Certificate-Policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group CertAuth to use keys in tenancy,ACTIVE,2023-03-06T13:26:36.790000+00:00
Certificate-Policy,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,Allow dynamic-group CertAuth to manage objects in tenancy,ACTIVE,2023-03-06T13:26:36.790000+00:00
CloudGuardPolicies,ocid1.tenancy.oc1..aaaaaaaafvbrqwizb2l62d7o46h622ibhfp2at56cfjxak7x3jqgh42ligrq,allow service cloudguard to manage cloudevents-rules in tenancy where target.rule.type='managed',ACTIVE,2023-03-15T08:41:58.523000+00:00
